mu,xi,sigma,c,generations,extinct,final_fitness,final_variance,final_clusters,final_silhouette,speciation
0.005,0.001,0.5,0.01,200,True,0.21421506753811698,2.3246426495869084e-08,3,1.0,True
0.005,0.001,1.0,0.0,50,False,0.9893397162112373,0.004011192873145779,4,1.0,True
0.005,0.001,1.0,0.0,100,False,0.9802984433591797,0.002845892651384873,2,0.9999537337023106,True
0.005,0.001,1.0,0.0,200,False,0.991288938054459,7.992609269207029e-33,1,,False
0.005,0.001,1.0,0.002,50,False,0.9586056098453775,1.1905078472830734e-07,4,0.9899998253762248,True
0.005,0.001,1.0,0.002,100,False,0.9055055223524949,1.0491867555036453e-07,2,1.0,True
0.005,0.001,1.0,0.002,200,False,0.7262979452624968,7.759692116557697e-33,1,,False
0.005,0.001,1.0,0.005,50,False,0.903721968197869,0.0019608127064868336,3,1.0,True
0.005,0.001,1.0,0.005,100,False,0.5605324352983689,3.6135708399749305e-08,2,1.0,True
0.005,0.001,1.0,0.005,200,True,0.2020855935686372,1.3002434537044327e-32,1,,False
0.005,0.001,1.0,0.01,50,False,0.6562145988839886,0.0005486931060403194,2,1.0,True
0.005,0.001,1.0,0.01,100,True,0.20049961168161162,2.546263703994135e-32,1,,False
0.005,0.001,1.0,0.01,200,True,0.20569951338121942,3.5292666230896097e-32,1,,False
0.005,0.001,2.0,0.0,50,False,0.99717801675582,0.002303170264997045,3,1.0,True
0.005,0.001,2.0,0.0,100,False,0.9912190430507473,3.6164672107825867e-09,2,1.0,True
0.005,0.001,2.0,0.0,200,False,0.994280592248959,1.1053784637844397e-32,1,,False
0.005,0.001,2.0,0.002,50,False,0.9854758000636242,0.009452869712849475,2,1.0,True
0.005,0.001,2.0,0.002,100,False,0.9821723509907229,2.6741776541919295e-08,3,0.9999891092986118,True
0.005,0.001,2.0,0.002,200,False,0.8941687387838806,1.003870300107795e-07,3,1.0,True
0.005,0.001,2.0,0.005,50,False,0.9567657427811618,0.00377752778161797,4,1.0,True
0.005,0.001,2.0,0.005,100,False,0.8204914781255717,2.681783762273922e-08,2,1.0,True
0.005,0.001,2.0,0.005,200,False,0.5455913952060716,7.876404795922733e-11,2,1.0,True
0.005,0.001,2.0,0.01,50,False,0.8758231370245315,0.0028815979684945897,3,0.9999999857499179,True
0.005,0.001,2.0,0.01,100,False,0.5156799424539265,1.6020174331699283e-08,2,1.0,True
0.005,0.001,2.0,0.01,200,True,0.20098023955742123,6.280977655558474e-09,2,1.0,True
0.005,0.05,0.2,0.0,50,False,0.9074501044122346,8.450539180757378e-06,3,0.99,True
0.005,0.05,0.2,0.0,100,False,0.902625652614761,4.191906894580343e-33,1,,False
0.005,0.05,0.2,0.0,200,False,0.9259997813527869,1.0292555757683943e-05,2,0.9899999819148835,True
0.005,0.05,0.2,0.002,50,False,0.7437825670021967,0.0003505267196946717,2,0.9984119412814042,True
0.005,0.05,0.2,0.002,100,False,0.250217253113359,0.0001898599734116921,2,1.0,True
0.005,0.05,0.2,0.002,200,True,0.2053498754029958,1.283211010758758e-32,1,,False
0.005,0.05,0.2,0.005,50,True,0.21605173562539406,8.70859817631548e-33,1,,False
0.005,0.05,0.2,0.005,100,True,0.2082961017813658,1.0101502558311053e-32,1,,False
0.005,0.05,0.2,0.005,200,True,0.21453760376776174,2.384301271151398e-32,1,,False
0.005,0.05,0.2,0.01,50,True,0.20591279914477045,7.905942421709603e-33,1,,False
0.005,0.05,0.2,0.01,100,True,0.21792124113167768,4.5722780585968224e-33,1,,False
0.005,0.05,0.2,0.01,200,True,0.21774690404235156,6.382200816490108e-33,1,,False
0.005,0.05,0.5,0.0,50,False,0.9364631464548379,0.004275458345195169,2,0.9999999951533058,True
0.005,0.05,0.5,0.0,100,False,0.9616910667154461,0.001375521026753696,2,1.0,True
0.005,0.05,0.5,0.0,200,False,0.9736725582772843,2.2207474618813987e-07,2,1.0,True
0.005,0.05,0.5,0.002,50,False,0.8980414878759866,0.0008824692230570009,2,1.0,True
0.005,0.05,0.5,0.002,100,False,0.8335355356543381,1.37607694526468e-32,1,,False
